date,actions,transactions
2019-02-11,"[ 1.  1.  1.  1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.         -171.45248413    0.        ]"
2019-02-12,"[ 1.  1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.]","[ 508.03198242  101.31650543  944.41192627 1003.14990234    0.
    0.         -180.12695312    0.          939.72595215    0.
    0.            0.            0.            7.07722521  319.56027222
  123.52358246  162.85159302  319.53372192    0.            0.
  213.05607605    0.            0.            0.          269.39221191
    0.            0.          421.40039062    0.          505.44873047
  301.0760498     0.         1487.82958984   81.68132782    0.
  123.22949982    0.            0.          224.30677795    0.
    0.            0.         1348.21765137  724.56414795    0.
    0.            0.            0.         -162.29708862   93.51860046]"
2019-02-13,"[ 1.  1.  1.  1. -1. -1.  1. -1.  1. -1.  1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.]","[   0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.           0.           0.
    0.           0.           0.        -159.7638092    0.       ]"
2019-02-14,"[ 1.  1. -1. -1. -1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1.  1.
 -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1.  1.]","[   0.            0.         -928.78106689 -975.76208496    0.
    0.            0.            0.         -869.2779541     0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
 -204.85842896    0.            0.            0.            0.
    0.            0.         -371.28344727    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]"
2019-02-15,"[ 1.  1. -1. -1. -1. -1.  1. -1.  1. -1.  1. -1. -1.  1.  1.  1.  1.  1.
 -1.  1.  1. -1.  1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.]","[   0.            0.         -930.3190918  -979.105896      0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.         -149.79029846    0.        ]"
2019-02-18,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.            0.          -70.44799805    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.         -377.8604126     0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.         -149.21096802    0.        ]"
2019-02-19,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1.  1. -1.  1.  1.  1. -1. -1.  1. -1.  1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
   -8.19764709    0.            0.            0.            0.
    0.            0.         -367.02636719    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]"
2019-02-20,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1.  1. -1.  1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.         -367.81472778    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]"
2019-02-21,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1. -1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.         -260.88922119    0.            0.
    0.            0.            0.            0.            0.
 -115.644104      0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.          -65.03826904    0.        ]"
2019-02-22,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
